date,runoff
2022/7/5 22:45,6374.090909
2022/7/5 22:50,6361.818182
2022/7/5 22:55,6349.545455
2022/7/5 23:00,6337.272727
2022/7/5 23:05,6325
2022/7/5 23:10,6312.727273
2022/7/5 23:15,6300.454545
2022/7/5 23:20,6288.181818
2022/7/5 23:25,6275.909091
2022/7/5 23:30,6263.636364
2022/7/5 23:35,6251.363636
2022/7/5 23:40,6239.090909
2022/7/5 23:45,6226.818182
2022/7/5 23:50,6214.545455
2022/7/5 23:55,6202.272727
2022/7/6 0:00,6190
2022/7/6 0:05,6172.5
2022/7/6 0:10,6155
2022/7/6 0:15,6137.5
2022/7/6 0:20,6120
2022/7/6 0:25,6102.5
2022/7/6 0:30,6085
2022/7/6 0:35,6067.5
2022/7/6 0:40,6050
2022/7/6 0:45,6032.5
2022/7/6 0:50,6015
2022/7/6 0:55,5997.5
2022/7/6 1:00,5980
2022/7/6 1:05,5962.5
2022/7/6 1:10,5945
2022/7/6 1:15,5927.5
2022/7/6 1:20,5910
2022/7/6 1:25,5892.5
2022/7/6 1:30,5875
2022/7/6 1:35,5857.5
2022/7/6 1:40,5840
2022/7/6 1:45,5822.5
2022/7/6 1:50,5805
2022/7/6 1:55,5787.5
2022/7/6 2:00,5770
2022/7/6 2:05,5759.027778
2022/7/6 2:10,5748.055556
2022/7/6 2:15,5737.083333
2022/7/6 2:20,5726.111111
2022/7/6 2:25,5715.138889
2022/7/6 2:30,5704.166667
2022/7/6 2:35,5693.194444
2022/7/6 2:40,5682.222222
2022/7/6 2:45,5671.25
2022/7/6 2:50,5660.277778
2022/7/6 2:55,5649.305556
2022/7/6 3:00,5638.333333
2022/7/6 3:05,5627.361111
2022/7/6 3:10,5616.388889
2022/7/6 3:15,5605.416667
2022/7/6 3:20,5594.444444
2022/7/6 3:25,5583.472222
2022/7/6 3:30,5572.5
2022/7/6 3:35,5561.527778
2022/7/6 3:40,5550.555556
2022/7/6 3:45,5539.583333
2022/7/6 3:50,5528.611111
2022/7/6 3:55,5517.638889
2022/7/6 4:00,5506.666667
2022/7/6 4:05,5495.694444
2022/7/6 4:10,5484.722222
2022/7/6 4:15,5473.75
2022/7/6 4:20,5462.777778
2022/7/6 4:25,5451.805556
2022/7/6 4:30,5440.833333
2022/7/6 4:35,5429.861111
2022/7/6 4:40,5418.888889
2022/7/6 4:45,5407.916667
2022/7/6 4:50,5396.944444
2022/7/6 4:55,5385.972222
2022/7/6 5:00,5375
2022/7/6 5:05,5364.027778
2022/7/6 5:10,5353.055556
2022/7/6 5:15,5342.083333
2022/7/6 5:20,5331.111111
2022/7/6 5:25,5320.138889
2022/7/6 5:30,5309.166667
2022/7/6 5:35,5298.194444
2022/7/6 5:40,5287.222222
2022/7/6 5:45,5276.25
2022/7/6 5:50,5265.277778
2022/7/6 5:55,5254.305556
2022/7/6 6:00,5243.333333
2022/7/6 6:05,5232.361111
2022/7/6 6:10,5221.388889
2022/7/6 6:15,5210.416667
2022/7/6 6:20,5199.444444
2022/7/6 6:25,5188.472222
2022/7/6 6:30,5177.5
